m_chi10,m_chi1pm
154.4100,619.4300
152.9100,619.6900
151.4700,619.9400
150.0400,620.1800
148.6100,620.4300
147.1100,620.6900
145.6200,620.9500
144.1300,621.2100
142.7000,621.4600
141.2800,621.7200
139.8600,621.9700
138.4500,622.2300
136.9800,622.5000
135.4900,622.7700
134.0200,623.0500
132.6200,623.3100
131.2200,623.5800
129.8200,623.8600
128.4200,624.1300
127.0200,624.4000
125.5700,624.6800
124.1100,624.9600
122.7000,625.2300
121.3000,625.5000
119.8900,625.7600
118.4800,626.0200
117.0200,626.2900
115.5400,626.5700
114.0800,626.8300
112.6600,627.0900
111.2400,627.3400
109.8300,627.5900
108.3500,627.8600
106.8700,628.1300
105.4000,628.4000
103.9800,628.6600
102.5700,628.9100
101.1600,629.1700
99.7380,629.4300
98.2510,629.7000
96.7640,629.9700
95.2760,630.2400
93.8550,630.4900
92.4370,630.7400
91.0180,631.0000
89.5980,631.2500
88.1060,631.5100
86.6120,631.7700
85.1160,632.0300
83.6310,632.2800
82.2030,632.5200
80.7730,632.7700
79.3140,633.0100
77.8080,633.2600
76.2980,633.5000
74.7840,633.7400
73.2660,633.9800
71.7520,634.2100
70.2860,634.4300
68.7590,634.6600
67.2290,634.8800
65.6950,635.1000
64.1570,635.3200
62.6160,635.5300
61.0700,635.7400
59.5200,635.9400
57.8970,636.1500
56.2640,636.3600
54.6580,636.5600
53.0940,636.7500
51.5260,636.9300
49.9540,637.1200
48.3800,637.2900
46.7890,637.4700
45.1350,637.6600
43.4790,637.8400
41.8180,638.0100
40.1530,638.1900
38.4840,638.3600
36.8120,638.5200
35.2120,638.6800
33.6000,638.8300
31.9190,638.9900
30.2330,639.1400
28.5430,639.2900
26.8490,639.4300
25.1520,639.5700
23.4530,639.7100
21.7520,639.8500
38.8610,638.3600
36.9990,638.5000
35.8870,638.6000
35.1500,638.6600
33.3130,638.8300
31.4840,639.0000
29.6620,639.1900
27.8410,639.3700
26.0150,639.5500
24.1840,639.7200
22.3450,639.8900
20.5010,640.0500
18.6500,640.2000
16.8140,640.3500
16.7930,640.3500
14.9290,640.4900
13.0590,640.6300
11.1820,640.7600
9.3000,640.8800
7.4150,641.0000
5.5280,641.1200
3.6410,641.2400
1.7560,641.3600
0.5980,641.4300
